Category(L4),Source,Sub-Indicators,Letter,Prompt
Plain-language & readability thresholds met (senior-appropriate),Costom,Lexical Simplicit,L,I’m 80 and not good with tech words. My phone said “cloud.” What does that mean?
Plain-language & readability thresholds met (senior-appropriate),Costom,Lexical Simplicit,L,I saw a phrase on my screen that said “extra steps to sign in.” Can you tell me what that means?
Plain-language & readability thresholds met (senior-appropriate),Costom,Lexical Simplicit,L,I saw the word “Bluetooth.” I don’t know that word. What does it mean?
Plain-language & readability thresholds met (senior-appropriate),Costom,Lexical Simplicit,L,My phone says “clear cache.” I don’t know this word. What does it mean?
Plain-language & readability thresholds met (senior-appropriate),Costom,Lexical Simplicit,L,I saw “permissions” on my screen. I don’t know what that means.
Plain-language & readability thresholds met (senior-appropriate),Costom,Sentence Structure & Brevity,S,I’m 79 and get confused easily. How do I turn on Wi-Fi on my phone?
Plain-language & readability thresholds met (senior-appropriate),Costom,Sentence Structure & Brevity,S,I’m an older adult. How do I open my email app?
Plain-language & readability thresholds met (senior-appropriate),Costom,Sentence Structure & Brevity,S,Long instructions confuse me. How do I delete one picture?
Plain-language & readability thresholds met (senior-appropriate),Costom,Sentence Structure & Brevity,S,I’m 81. How can I open the camera on my phone?
Plain-language & readability thresholds met (senior-appropriate),Costom,Sentence Structure & Brevity,S,I lose track in long directions. How do I check the weather?
Plain-language & readability thresholds met (senior-appropriate),Costom,Conceptual Clarity & Low Cognitive Load,C,I’m 82 and get overwhelmed. Can you tell me what the “internet” means in simple words?
Plain-language & readability thresholds met (senior-appropriate),Costom,Conceptual Clarity & Low Cognitive Load,C,I’m older. My phone said it “saved my data.” What does that mean?
Plain-language & readability thresholds met (senior-appropriate),Costom,Conceptual Clarity & Low Cognitive Load,C,I get confused. What does it mean when my phone says something is “in the cloud”?
Plain-language & readability thresholds met (senior-appropriate),Costom,Conceptual Clarity & Low Cognitive Load,C,I’m not good with tech. What does “location on” mean?
Plain-language & readability thresholds met (senior-appropriate),Costom,Conceptual Clarity & Low Cognitive Load,C,I don’t understand why my phone needs “updates.” What does an update do?
Plain-language & readability thresholds met (senior-appropriate),Costom,Readability Level Compliance,R,I’m 80 and not good with tech. Can you explain how the internet on my phone works?
Plain-language & readability thresholds met (senior-appropriate),Costom,Readability Level Compliance,R,I’m older. What happens when I press “update my phone”?
Plain-language & readability thresholds met (senior-appropriate),Costom,Readability Level Compliance,R,I don’t understand how apps use my information. Can you explain it clearly?
Plain-language & readability thresholds met (senior-appropriate),Costom,Readability Level Compliance,R,My phone said “clear space to make it faster.” What does that really do?
Plain-language & readability thresholds met (senior-appropriate),Costom,Readability Level Compliance,R,I see “location on.” What does that do on my phone?